source,category,subcategory,title,link,description,pub_date,author,guid,full_content,pub_date_formatted,full_paragraphs
SCMP,news,hong_kong,"‘Protect not punish’ whistle-blowers, Malaysian corruption watchdog urges",https://www.scmp.com/week-asia/politics/article/3306207/protect-not-punish-whistle-blowers-malaysian-corruption-watchdog-urges?utm_source=rss_feed,"A businessman who exposed alleged corruption is now facing scrutiny himself, raising questions about Malaysia’s anti-graft legal framework.","Fri, 11 Apr 2025 19:02:29 +0800",Aidan Jones,https://www.scmp.com/week-asia/politics/article/3306207/protect-not-punish-whistle-blowers-malaysian-corruption-watchdog-urges?utm_source=rss_feed,"A businessman who exposed alleged corruption is now facing scrutiny himself, raising questions about Malaysia’s anti-graft legal framework.",2025-04-11 19:02:29,
SCMP,news,hong_kong,Philippines denies health scare after Marcos appears to have bleeding gums in viral video,https://www.scmp.com/week-asia/politics/article/3306206/philippines-denies-health-scare-after-marcos-appears-have-bleeding-gums-viral-video?utm_source=rss_feed,Speculation about the president’s health was fuelled by footage of Marcos speaking with what looked like blood in his mouth during a speech.,"Fri, 11 Apr 2025 19:00:52 +0800",Raissa Robles,https://www.scmp.com/week-asia/politics/article/3306206/philippines-denies-health-scare-after-marcos-appears-have-bleeding-gums-viral-video?utm_source=rss_feed,Speculation about the president’s health was fuelled by footage of Marcos speaking with what looked like blood in his mouth during a speech.,2025-04-11 19:00:52,
SCMP,business,business,Delisting of US-listed Chinese firms to boost Hong Kong’s status as fundraising hub,https://www.scmp.com/business/markets/article/3306203/delisting-us-listed-chinese-firms-boost-hong-kongs-status-fundraising-hub?utm_source=rss_feed,A total of 286 Chinese firms are listed in the US with a total market capitalisation of US$1.1 trillion.,"Fri, 11 Apr 2025 18:51:44 +0800","Enoch Yiu,Cao Li",https://www.scmp.com/business/markets/article/3306203/delisting-us-listed-chinese-firms-boost-hong-kongs-status-fundraising-hub?utm_source=rss_feed,A total of 286 Chinese firms are listed in the US with a total market capitalisation of US$1.1 trillion.,2025-04-11 18:51:44,
SCMP,news,hong_kong,"India speeds up UK, EU trade deals to buffer against Trump’s tariffs",https://www.scmp.com/week-asia/economics/article/3306165/india-speeds-uk-eu-trade-deals-buffer-against-trumps-tariffs?utm_source=rss_feed,Analysts warn of potential ‘winners and losers’ if deals are rushed – though 90 per cent of the UK deal is already reportedly done.,"Fri, 11 Apr 2025 18:30:07 +0800",Biman Mukherji,https://www.scmp.com/week-asia/economics/article/3306165/india-speeds-uk-eu-trade-deals-buffer-against-trumps-tariffs?utm_source=rss_feed,Analysts warn of potential ‘winners and losers’ if deals are rushed – though 90 per cent of the UK deal is already reportedly done.,2025-04-11 18:30:07,
SCMP,news,hong_kong,US tariffs impact on developing countries could be worse than foreign aid cuts: UN,https://www.scmp.com/news/world/united-states-canada/article/3306198/us-tariffs-impact-developing-countries-could-be-worse-foreign-aid-cuts-un?utm_source=rss_feed,"Tariffs on imports to the US mean developing economies risk sliding back on gains made in recent years, says the United Nations’ trade agency.","Fri, 11 Apr 2025 18:21:57 +0800",Reuters,https://www.scmp.com/news/world/united-states-canada/article/3306198/us-tariffs-impact-developing-countries-could-be-worse-foreign-aid-cuts-un?utm_source=rss_feed,"Tariffs on imports to the US mean developing economies risk sliding back on gains made in recent years, says the United Nations’ trade agency.",2025-04-11 18:21:57,
SCMP,business,global_economy,"How Hong Kong actress Carman Lee found fame in Condor Heroes on TV, then gave it all up",https://www.scmp.com/lifestyle/entertainment/article/3306166/how-hong-kong-actress-carman-lee-found-fame-condor-heroes-tv-then-gave-it-all?utm_source=rss_feed,"Actress got her big break in a Hong Kong TV adaptation of a Louis Cha wuxia novel, shone in a variety of roles, then quit acting.","Fri, 11 Apr 2025 18:15:08 +0800",Lisa Cam,https://www.scmp.com/lifestyle/entertainment/article/3306166/how-hong-kong-actress-carman-lee-found-fame-condor-heroes-tv-then-gave-it-all?utm_source=rss_feed,"Actress got her big break in a Hong Kong TV adaptation of a Louis Cha wuxia novel, shone in a variety of roles, then quit acting.",2025-04-11 18:15:08,
SCMP,news,hong_kong,Chinese AI firm SenseTime bets on multimodal models to stand out from rivals,https://www.scmp.com/tech/big-tech/article/3306164/chinese-ai-firm-sensetime-bets-multimodal-models-stand-out-rivals?utm_source=rss_feed,"Its latest SenseNova V6 and V6 Reasoner models have outperformed competing products from OpenAI, CEO Xu Li says.","Fri, 11 Apr 2025 18:00:27 +0800",Ann Cao,https://www.scmp.com/tech/big-tech/article/3306164/chinese-ai-firm-sensetime-bets-multimodal-models-stand-out-rivals?utm_source=rss_feed,"Its latest SenseNova V6 and V6 Reasoner models have outperformed competing products from OpenAI, CEO Xu Li says.",2025-04-11 18:00:27,
SCMP,news,hong_kong,Chinese car owner seeks only pancakes in compensation after food cart scratches vehicle,https://www.scmp.com/news/people-culture/trending-china/article/3305676/chinese-car-owner-seeks-only-pancakes-compensation-after-food-cart-scratches-vehicle?utm_source=rss_feed,"Couple responsible for damage to Range Rover cannot afford US$410 repair bill, vehicle owner accepts offer of street food instead.","Fri, 11 Apr 2025 18:00:16 +0800",Yating Yang,https://www.scmp.com/news/people-culture/trending-china/article/3305676/chinese-car-owner-seeks-only-pancakes-compensation-after-food-cart-scratches-vehicle?utm_source=rss_feed,"Couple responsible for damage to Range Rover cannot afford US$410 repair bill, vehicle owner accepts offer of street food instead.",2025-04-11 18:00:16,
SCMP,news,hong_kong,Philippine politician’s remarks spark misogyny row,https://www.scmp.com/news/asia/southeast-asia/article/3306225/philippine-politicians-remarks-spark-misogyny-row?utm_source=rss_feed,Christian Sia’s remarks have been called a potential test case for curbing misogyny on the campaign trail.,"Fri, 11 Apr 2025 18:00:00 +0800",Raissa Robles,https://www.scmp.com/news/asia/southeast-asia/article/3306225/philippine-politicians-remarks-spark-misogyny-row?utm_source=rss_feed,Christian Sia’s remarks have been called a potential test case for curbing misogyny on the campaign trail.,2025-04-11 18:00:00,
SCMP,news,hong_kong,"Chinese netizens air anger, patriotism and anti-American views amid tariff war",https://www.scmp.com/news/china/politics/article/3306193/chinese-netizens-air-anger-old-school-patriotism-and-anti-american-views-amid-tariff-war?utm_source=rss_feed,Video clips of Mao Zedong and nationalistic films are circulating as Chinese citizens and business owners consider fallout from Trump’s tariffs.,"Fri, 11 Apr 2025 17:59:29 +0800","Vanessa Cai,William Zheng",https://www.scmp.com/news/china/politics/article/3306193/chinese-netizens-air-anger-old-school-patriotism-and-anti-american-views-amid-tariff-war?utm_source=rss_feed,Video clips of Mao Zedong and nationalistic films are circulating as Chinese citizens and business owners consider fallout from Trump’s tariffs.,2025-04-11 17:59:29,
SCMP,news,hong_kong,Japan Post worker arrested for mailing used condom to colleague ‘to satisfy sexual urges’,https://www.scmp.com/week-asia/lifestyle-culture/article/3306194/japan-post-worker-arrested-mailing-used-condom-colleague-satisfy-sexual-urges?utm_source=rss_feed,The incident has sparked safety concerns and an investigation into similar cases.,"Fri, 11 Apr 2025 17:56:43 +0800",SCMP’s Asia desk,https://www.scmp.com/week-asia/lifestyle-culture/article/3306194/japan-post-worker-arrested-mailing-used-condom-colleague-satisfy-sexual-urges?utm_source=rss_feed,The incident has sparked safety concerns and an investigation into similar cases.,2025-04-11 17:56:43,
SCMP,business,business,"Chagee, Miniso play down US delisting concerns amid Trump tariff war",https://www.scmp.com/business/markets/article/3306189/chagee-miniso-play-down-us-delisting-concerns-amid-trump-tariff-war?utm_source=rss_feed,"Any delisting move may benefit the stock exchange and deal bankers in Hong Kong, CreditSights says.","Fri, 11 Apr 2025 17:48:57 +0800",Yuke Xie,https://www.scmp.com/business/markets/article/3306189/chagee-miniso-play-down-us-delisting-concerns-amid-trump-tariff-war?utm_source=rss_feed,"Any delisting move may benefit the stock exchange and deal bankers in Hong Kong, CreditSights says.",2025-04-11 17:48:57,
SCMP,news,hong_kong,How Japan built a 3D-printed railway station overnight,https://www.scmp.com/news/asia/east-asia/article/3306169/how-japan-built-3d-printed-railway-station-overnight?utm_source=rss_feed,Assembly process began at midnight and was finished about five hours later.,"Fri, 11 Apr 2025 17:30:15 +0800",Caroline Qiqige Wang,https://www.scmp.com/news/asia/east-asia/article/3306169/how-japan-built-3d-printed-railway-station-overnight?utm_source=rss_feed,Assembly process began at midnight and was finished about five hours later.,2025-04-11 17:30:15,
SCMP,business,companies,"Miami upset shows Hong Kong tennis belongs, but I must conquer clay: Coleman Wong",https://www.scmp.com/sport/hong-kong/article/3306154/miami-upset-shows-hong-kong-tennis-belongs-i-must-conquer-clay-coleman-wong?utm_source=rss_feed,"City’s highest-ranked player hopes to continue recent breakthrough form in clay-court season, starting with wild card at Madrid Open.","Fri, 11 Apr 2025 17:30:13 +0800",Lars Hamer,https://www.scmp.com/sport/hong-kong/article/3306154/miami-upset-shows-hong-kong-tennis-belongs-i-must-conquer-clay-coleman-wong?utm_source=rss_feed,"City’s highest-ranked player hopes to continue recent breakthrough form in clay-court season, starting with wild card at Madrid Open.",2025-04-11 17:30:13,
SCMP,news,hong_kong,Golden retriever in China stops rolling baby stroller,https://www.scmp.com/news/china/article/3306147/golden-retriever-china-stops-rolling-baby-stroller?utm_source=rss_feed,"The dog has always been helpful, the child’s mother says.","Fri, 11 Apr 2025 17:30:08 +0800",Sammi Chan,https://www.scmp.com/news/china/article/3306147/golden-retriever-china-stops-rolling-baby-stroller?utm_source=rss_feed,"The dog has always been helpful, the child’s mother says.",2025-04-11 17:30:08,
SCMP,news,hong_kong,"US$5.1 billion in cuts, including on climate change, announced by Pentagon",https://www.scmp.com/news/world/united-states-canada/article/3306179/us51-billion-cuts-including-climate-change-announced-pentagon?utm_source=rss_feed,"Department of Defence boss Pete Hegseth said climate change, Covid-19 response and diversity programmes will be among the contracts to end.","Fri, 11 Apr 2025 17:22:51 +0800",Agence France-Presse,https://www.scmp.com/news/world/united-states-canada/article/3306179/us51-billion-cuts-including-climate-change-announced-pentagon?utm_source=rss_feed,"Department of Defence boss Pete Hegseth said climate change, Covid-19 response and diversity programmes will be among the contracts to end.",2025-04-11 17:22:51,
SCMP,business,global_economy,"5 of the best things to do in Hong Kong this weekend, April 11-13",https://www.scmp.com/lifestyle/health-wellness/article/3306123/5-best-things-do-hong-kong-weekend-april-11-13?utm_source=rss_feed,"Quaff some Pharrell Williams champagne, learn how to care better for your dog, revisit an iconic Hong Kong movie and more this weekend.","Fri, 11 Apr 2025 17:15:07 +0800",SCMP Reporter,https://www.scmp.com/lifestyle/health-wellness/article/3306123/5-best-things-do-hong-kong-weekend-april-11-13?utm_source=rss_feed,"Quaff some Pharrell Williams champagne, learn how to care better for your dog, revisit an iconic Hong Kong movie and more this weekend.",2025-04-11 17:15:07,
SCMP,news,hong_kong,"Ex-Hong Kong policeman charged in ICAC probe faces 30 extra counts of bribery, fraud",https://www.scmp.com/news/hong-kong/law-and-crime/article/3306170/ex-hong-kong-policeman-charged-icac-probe-faces-30-extra-counts-bribery-fraud?utm_source=rss_feed,Extra charges against Mak Kwok-hung include accepting an advantage as a public servant and 28 counts of fraud.,"Fri, 11 Apr 2025 17:06:28 +0800",Ng Kang-chung,https://www.scmp.com/news/hong-kong/law-and-crime/article/3306170/ex-hong-kong-policeman-charged-icac-probe-faces-30-extra-counts-bribery-fraud?utm_source=rss_feed,Extra charges against Mak Kwok-hung include accepting an advantage as a public servant and 28 counts of fraud.,2025-04-11 17:06:28,
SCMP,business,business,TikTok owner ByteDance’s overseas sales jump in 2024 despite US hurdles: report,https://www.scmp.com/tech/big-tech/article/3306161/tiktok-owner-bytedances-overseas-sales-jump-2024-despite-us-hurdles-report?utm_source=rss_feed,"ByteDance’s total revenue is said to have risen to US$155 billion last year, placing the unicorn among the world’s top internet giants.","Fri, 11 Apr 2025 17:00:14 +0800",Ben Jiang,https://www.scmp.com/tech/big-tech/article/3306161/tiktok-owner-bytedances-overseas-sales-jump-2024-despite-us-hurdles-report?utm_source=rss_feed,"ByteDance’s total revenue is said to have risen to US$155 billion last year, placing the unicorn among the world’s top internet giants.",2025-04-11 17:00:14,
SCMP,news,hong_kong,South China Sea: Philippines’ resupply mission successful but is it calm before the storm?,https://www.scmp.com/week-asia/politics/article/3306127/south-china-sea-philippines-resupply-mission-successful-it-calm-storm?utm_source=rss_feed,"Seventh trouble-free mission to disputed Second Thomas Shoal could be due to the July 2024 arrangement between both sides, analysts note.","Fri, 11 Apr 2025 17:00:10 +0800",Jeoffrey Maitem,https://www.scmp.com/week-asia/politics/article/3306127/south-china-sea-philippines-resupply-mission-successful-it-calm-storm?utm_source=rss_feed,"Seventh trouble-free mission to disputed Second Thomas Shoal could be due to the July 2024 arrangement between both sides, analysts note.",2025-04-11 17:00:10,
SCMP,news,hong_kong,"In South Korea, digital sex crimes soar amid rise in AI, deepfake technology",https://www.scmp.com/week-asia/lifestyle-culture/article/3306158/south-korea-digital-sex-crimes-soar-amid-rise-ai-deepfake-technology?utm_source=rss_feed,Support centre for victims notes disturbing trend of young people using AI-generated deepfake images for entertainment.,"Fri, 11 Apr 2025 16:30:40 +0800",SCMP’s Asia desk,https://www.scmp.com/week-asia/lifestyle-culture/article/3306158/south-korea-digital-sex-crimes-soar-amid-rise-ai-deepfake-technology?utm_source=rss_feed,Support centre for victims notes disturbing trend of young people using AI-generated deepfake images for entertainment.,2025-04-11 16:30:40,
SCMP,news,hong_kong,Chinese brands are impressing the world – but can they inspire it?,https://www.scmp.com/opinion/china-opinion/article/3305830/chinese-brands-are-impressing-world-can-they-inspire-it?utm_source=rss_feed,"While Chinese companies excel in quality, pricing and design, some have yet to embed themselves in the emotional lives of global consumers.","Fri, 11 Apr 2025 16:30:07 +0800",Samer Elhajjar,https://www.scmp.com/opinion/china-opinion/article/3305830/chinese-brands-are-impressing-world-can-they-inspire-it?utm_source=rss_feed,"While Chinese companies excel in quality, pricing and design, some have yet to embed themselves in the emotional lives of global consumers.",2025-04-11 16:30:07,
SCMP,business,global_economy,Is this AI-powered gym the future of fitness? Personalised workouts created by a Genius,https://www.scmp.com/lifestyle/health-wellness/article/3305798/ai-powered-gym-future-fitness-personalised-workouts-created-genius?utm_source=rss_feed,"The ‘first full-scale AI-powered gym’ in LA pairs AI software with human coaches to keep you on track – so be good, for goodness’ sake.","Fri, 11 Apr 2025 16:15:08 +0800",Tribune News Service,https://www.scmp.com/lifestyle/health-wellness/article/3305798/ai-powered-gym-future-fitness-personalised-workouts-created-genius?utm_source=rss_feed,"The ‘first full-scale AI-powered gym’ in LA pairs AI software with human coaches to keep you on track – so be good, for goodness’ sake.",2025-04-11 16:15:08,
SCMP,news,hong_kong,"China ups tariffs on American goods to 125%, will ‘ignore’ future US hikes",https://www.scmp.com/economy/china-economy/article/3306151/china-raises-tariffs-us-goods-125?utm_source=rss_feed,"Latest move matches tariff level announced by US President Donald Trump, and officials say any future US increases will not be met with reply.","Fri, 11 Apr 2025 16:09:12 +0800","Ji Siqi,Frank Chen",https://www.scmp.com/economy/china-economy/article/3306151/china-raises-tariffs-us-goods-125?utm_source=rss_feed,"Latest move matches tariff level announced by US President Donald Trump, and officials say any future US increases will not be met with reply.",2025-04-11 16:09:12,
SCMP,news,hong_kong,Volatile market prompts Chinese retail investors to demand details of firms’ US exposure,https://www.scmp.com/economy/china-economy/article/3306145/volatile-market-prompts-chinese-retail-investors-demand-details-firms-us-exposure?utm_source=rss_feed,China’s more than 100 million retail investors have seen the A-share market shed about 4.5 trillion yuan of value this month.,"Fri, 11 Apr 2025 16:00:16 +0800",Sylvia Ma,https://www.scmp.com/economy/china-economy/article/3306145/volatile-market-prompts-chinese-retail-investors-demand-details-firms-us-exposure?utm_source=rss_feed,China’s more than 100 million retail investors have seen the A-share market shed about 4.5 trillion yuan of value this month.,2025-04-11 16:00:16,
SCMP,news,hong_kong,Hong Kong court dismisses legal challenge over San Tin Technopole project,https://www.scmp.com/news/hong-kong/law-and-crime/article/3306140/hong-kong-court-dismisses-challenge-over-tech-hub-project-after-activist-withdraws-bid?utm_source=rss_feed,High Court allows social worker Eddie Tse to drop the case but rejects his request for another activist to take over proceedings.,"Fri, 11 Apr 2025 15:58:38 +0800",Brian Wong,https://www.scmp.com/news/hong-kong/law-and-crime/article/3306140/hong-kong-court-dismisses-challenge-over-tech-hub-project-after-activist-withdraws-bid?utm_source=rss_feed,High Court allows social worker Eddie Tse to drop the case but rejects his request for another activist to take over proceedings.,2025-04-11 15:58:38,
SCMP,news,hong_kong,Singapore’s Chinatown eatery removes notices imposing ‘104% surcharge’ on American diners,https://www.scmp.com/news/asia/southeast-asia/article/3306143/singapores-chinatown-eatery-removes-notices-imposing-104-surcharge-american-diners?utm_source=rss_feed,"Many social media users condemned Xie Lao Song’s move as discriminatory, while others questioned whether local law prohibits such practices.","Fri, 11 Apr 2025 15:56:59 +0800",CNA,https://www.scmp.com/news/asia/southeast-asia/article/3306143/singapores-chinatown-eatery-removes-notices-imposing-104-surcharge-american-diners?utm_source=rss_feed,"Many social media users condemned Xie Lao Song’s move as discriminatory, while others questioned whether local law prohibits such practices.",2025-04-11 15:56:59,
SCMP,news,hong_kong,"Singapore PM, opposition leader both enjoy over 70% approval in new voter survey",https://www.scmp.com/week-asia/politics/article/3306142/singapore-pm-opposition-leader-both-enjoy-70-approval-new-voter-survey?utm_source=rss_feed,"The survey also revealed Singaporeans are prioritising the cost of living, job opportunities, salaries, and housing affordability ahead of a keenly anticipated election.","Fri, 11 Apr 2025 15:51:54 +0800",Jean Iau,https://www.scmp.com/week-asia/politics/article/3306142/singapore-pm-opposition-leader-both-enjoy-70-approval-new-voter-survey?utm_source=rss_feed,"The survey also revealed Singaporeans are prioritising the cost of living, job opportunities, salaries, and housing affordability ahead of a keenly anticipated election.",2025-04-11 15:51:54,
SCMP,news,hong_kong,Improve transport services at Hong Kong geopark to support tourism: lawmakers,https://www.scmp.com/news/hong-kong/health-environment/article/3306132/improve-transport-services-hong-kong-geopark-support-tourism-lawmakers?utm_source=rss_feed,Call to action from lawmakers follows minister brushing aside similar suggestions and stressing importance of conservation over development.,"Fri, 11 Apr 2025 15:25:29 +0800",Vivian Au,https://www.scmp.com/news/hong-kong/health-environment/article/3306132/improve-transport-services-hong-kong-geopark-support-tourism-lawmakers?utm_source=rss_feed,Call to action from lawmakers follows minister brushing aside similar suggestions and stressing importance of conservation over development.,2025-04-11 15:25:29,
SCMP,news,hong_kong,Hong Kong court jails woman for 7 months for splashing red paint on planter,https://www.scmp.com/news/hong-kong/law-and-crime/article/3306129/hong-kong-court-jails-woman-7-months-over-splashing-red-paint-planter?utm_source=rss_feed,"Mak Kar-man, 46, says she only committed the offence on November 19 last year because she was under stress due to job hunting.","Fri, 11 Apr 2025 15:16:05 +0800",Fiona Chow,https://www.scmp.com/news/hong-kong/law-and-crime/article/3306129/hong-kong-court-jails-woman-7-months-over-splashing-red-paint-planter?utm_source=rss_feed,"Mak Kar-man, 46, says she only committed the offence on November 19 last year because she was under stress due to job hunting.",2025-04-11 15:16:05,
SCMP,business,global_economy,"Facts about allspice, how to use it in cooking, and an Easter recipe for hot cross buns",https://www.scmp.com/lifestyle/food-drink/article/3305868/facts-about-allspice-how-use-it-cooking-and-easter-recipe-hot-cross-buns?utm_source=rss_feed,"One of the spices that goes into jerk seasoning in Jamaica, allspice is employed in Europe to make spiced breads such as gingerbread.","Fri, 11 Apr 2025 15:15:07 +0800",Susan Jung,https://www.scmp.com/lifestyle/food-drink/article/3305868/facts-about-allspice-how-use-it-cooking-and-easter-recipe-hot-cross-buns?utm_source=rss_feed,"One of the spices that goes into jerk seasoning in Jamaica, allspice is employed in Europe to make spiced breads such as gingerbread.",2025-04-11 15:15:07,
SCMP,news,hong_kong,"Autonomous or independent, Greenland should stay away from America",https://www.scmp.com/opinion/article/3306100/autonomous-or-independent-greenland-should-stay-away-america?utm_source=rss_feed,Trump wants to take the world’s largest island to ‘new heights’. It’s already much better off compared with US overseas territories and associated states.,"Fri, 11 Apr 2025 15:00:16 +0800",Alex Lo,https://www.scmp.com/opinion/article/3306100/autonomous-or-independent-greenland-should-stay-away-america?utm_source=rss_feed,Trump wants to take the world’s largest island to ‘new heights’. It’s already much better off compared with US overseas territories and associated states.,2025-04-11 15:00:16,
SCMP,news,hong_kong,"China never backs down when faced with ‘unreasonable’ behaviour, Xi Jinping warns",https://www.scmp.com/news/china/diplomacy/article/3306124/no-one-will-win-tariff-war-chinese-leader-xi-jinping-warns?utm_source=rss_feed,Xi told Spanish Prime Minister Pedro Sanchez that the EU should help China resist ‘unilateral bullying’ after the Trump tariffs landed.,"Fri, 11 Apr 2025 14:49:02 +0800",Alyssa Chen,https://www.scmp.com/news/china/diplomacy/article/3306124/no-one-will-win-tariff-war-chinese-leader-xi-jinping-warns?utm_source=rss_feed,Xi told Spanish Prime Minister Pedro Sanchez that the EU should help China resist ‘unilateral bullying’ after the Trump tariffs landed.,2025-04-11 14:49:02,
